CRN;Course;Session;Title;Instructor;Time/Location;Credits
24714;ANTH 507 001;Full Term;ANTHRO FROM 2ND WW-PRESENT;Howe, Alyssa C.;2:30PM - 5:00PM R SEW 562GR Course-Dept Schedules Exam;3
24709;ANTH 517 001;Full Term;REVOLUTIONS AND UTOPIAS;Boyer, Dominic C.;2:30PM - 5:00PM T DCC 113GR Course-Dept Schedules Exam;3
24712;ANTH 562 001;Full Term;ARCHAEOLOGICAL FLD TECHNIQUES;Fleisher, Jeffrey B.;2:00PM - 4:30PM W SEW 103GR Course-Dept Schedules Exam;3
25035;ANTH 596 001;Full Term;LAW AND RESISTANCE;Ballestero, Andrea;2:00PM - 3:15PM MW RZR 119GR Course-Dept Schedules Exam;3
25021;ANTH 597 001;Full Term;ANTHROPOLOGY JOURNAL CLUB;Wool, Zoe H.Ballestero, Andrea;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBAGR Course-Dept Schedules Exam;1
20203;ANTH 600 002;Full Term;INDEPENDENT STUDY;Faubion, James D.;TBA TBAGR Course-Dept Schedules Exam;1 TO 9
20761;ANTH 600 003;Full Term;INDEPENDENT STUDY;Georges, Eugenia;TBA TBAGR Course-Dept Schedules Exam;1 TO 9
20204;ANTH 600 004;Full Term;INDEPENDENT STUDY;Howe, Alyssa C.;TBA TBAGR Course-Dept Schedules Exam;1 TO 9
22570;ANTH 600 005;Full Term;INDEPENDENT STUDY;Ballestero, Andrea;TBA TBAGR Course-Dept Schedules Exam;1 TO 9
22031;ANTH 600 006;Full Term;INDEPENDENT STUDY;McIntosh, Susan K.;TBA TBAGR Course-Dept Schedules Exam;1 TO 9
22032;ANTH 600 007;Full Term;INDEPENDENT STUDY;Wool, Zoe H.;TBA TBAGR Course-Dept Schedules Exam;1 TO 9
22033;ANTH 600 008;Full Term;INDEPENDENT STUDY;Boyer, Dominic C.;TBA TBAGR Course-Dept Schedules Exam;1 TO 9
22035;ANTH 600 010;Full Term;INDEPENDENT STUDY;Fleisher, Jeffrey B.;TBA TBAGR Course-Dept Schedules Exam;1 TO 9
24242;ANTH 602 001;Full Term;PROPOSAL WRITING SEMINAR;Georges, Eugenia;2:00PM - 4:30PM W SEW 562GR Course-Dept Schedules Exam;3
24715;ANTH 616 001;Full Term;CLASSICAL SOCIAL THEORY;Faubion, James D.;1:00PM - 3:30PM M SEW 562GR Course-Dept Schedules Exam;3
24716;ANTH 650 001;Full Term;PEDAGOGY;Wool, Zoe H.;TBA TBAGR Course-Dept Schedules Exam;3
25022;ANTH 651 001;Full Term;THE ANTHROPOLOGY OF WATER;Ballestero, Andrea;3:30PM - 6:00PM T SEW 5622-MAY-2018 9:00AM - 12:00PM W TBA TBAGR Course-Dept Schedules Exam;3
25037;ANTH 653 001;Full Term;COLLATERAL AFTERWORLDS;Wool, Zoe H.;1:00PM - 3:30PM T SEW 562GR Course-Dept Schedules Exam;3
22866;ANTH 800 002;Full Term;RESEARCH AND THESIS;Faubion, James D.;TBA TBAGR Course-Dept Schedules Exam;3 TO 9
22868;ANTH 800 003;Full Term;RESEARCH AND THESIS;Georges, Eugenia;TBA TBAGR Course-Dept Schedules Exam;3 TO 9
20205;ANTH 800 004;Full Term;RESEARCH AND THESIS;Howe, Alyssa C.;TBA TBAGR Course-Dept Schedules Exam;3 TO 9
22870;ANTH 800 008;Full Term;RESEARCH AND THESIS;Boyer, Dominic C.;TBA TBAGR Course-Dept Schedules Exam;3 TO 9
21516;CSCI 390 001;Full Term;SUPERV RESRCH COGNITIVE SCI;Byrne, Michael D.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 3
21517;CSCI 481 001;Full Term;HONORS PROJECT;Byrne, Michael D.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 3
22138;ECON 100 001;Full Term;PRINCIPLES OF ECONOMICS;DeNicco, James P.;10:50AM - 12:05PM TR DCH 105526-APR-2018 9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room;3
22139;ECON 100 002;Full Term;PRINCIPLES OF ECONOMICS;DeNicco, James P.;1:00PM - 2:15PM TR HRG 10027-APR-2018 9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room;3
22140;ECON 100 003;Full Term;PRINCIPLES OF ECONOMICS;DeNicco, James P.;2:00PM - 3:15PM MW ABL 1231-MAY-2018 2:00PM - 5:00PM T TBA TBAScheduled Final Exam-OTR Room;3
22141;ECON 100 004;Full Term;PRINCIPLES OF ECONOMICS;DeNicco, James P.;4:00PM - 5:15PM MW ABL 12328-APR-2018 7:00PM - 10:00PM S TBA TBAScheduled Final Exam-OTR Room;3
24506;ECON 200 001;Full Term;MICROECONOMICS;Brown, James N.;10:50AM - 12:05PM TR HRZ 2121:00PM - 1:50PM W HRZ 21226-APR-2018 9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room;4
24507;ECON 200 002;Full Term;MICROECONOMICS;Brown, James N.;10:50AM - 12:05PM TR HRZ 2122:00PM - 2:50PM W HRZ 21226-APR-2018 9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room;4
24508;ECON 200 003;Full Term;MICROECONOMICS;Brown, James N.;10:50AM - 12:05PM TR HRZ 2123:00PM - 3:50PM W HRZ 21226-APR-2018 9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room;4
24509;ECON 200 004;Full Term;MICROECONOMICS;Brown, James N.;1:00PM - 2:15PM TR HRZ 2121:00PM - 1:50PM W HRZ 21227-APR-2018 9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room;4
24510;ECON 200 005;Full Term;MICROECONOMICS;Brown, James N.;1:00PM - 2:15PM TR HRZ 2122:00PM - 2:50PM W HRZ 21227-APR-2018 9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room;4
24511;ECON 200 006;Full Term;MICROECONOMICS;Brown, James N.;1:00PM - 2:15PM TR HRZ 2123:00PM - 3:50PM W HRZ 21227-APR-2018 9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room;4
22145;ECON 203 001;Full Term;MACROECONOMICS;Carlton, Amelie B.;2:00PM - 3:15PM MW BKH 2291-MAY-2018 2:00PM - 5:00PM T TBA TBAScheduled Final Exam-OTR Room;3
22144;ECON 203 002;Full Term;MACROECONOMICS;Carlton, Amelie B.;4:00PM - 5:15PM MW BKH 22928-APR-2018 7:00PM - 10:00PM S TBA TBAScheduled Final Exam-OTR Room;3
22150;ECON 209 001;Full Term;APPLIED ECONOMETRICS;He, Yinghua;2:00PM - 3:15PM MW BKH 1026:00PM - 6:50PM T SEW 2071-MAY-2018 2:00PM - 5:00PM T TBA TBAScheduled Final Exam-OTR Room;4
22336;ECON 209 002;Full Term;APPLIED ECONOMETRICS;He, Yinghua;2:00PM - 3:15PM MW BKH 1027:00PM - 7:50PM T SEW 2071-MAY-2018 2:00PM - 5:00PM T TBA TBAScheduled Final Exam-OTR Room;4
22151;ECON 209 003;Full Term;APPLIED ECONOMETRICS;He, Yinghua;4:00PM - 5:15PM MW BKH 1026:00PM - 6:50PM W SEW 20728-APR-2018 7:00PM - 10:00PM S TBA TBAScheduled Final Exam-OTR Room;4
22340;ECON 209 004;Full Term;APPLIED ECONOMETRICS;He, Yinghua;4:00PM - 5:15PM MW BKH 1027:00PM - 7:50PM W SEW 20728-APR-2018 7:00PM - 10:00PM S TBA TBAScheduled Final Exam-OTR Room;4
22342;ECON 209 005;Full Term;APPLIED ECONOMETRICS;Fox, Jeremy T.;10:50AM - 12:05PM TR BKH 2334:00PM - 4:50PM W SEW 20726-APR-2018 9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room;4
22157;ECON 210 001;Full Term;BEHAVIORAL ECONOMICS;Biavati, Michele;4:00PM - 5:15PM TR HUM 11727-APR-2018 2:00PM - 5:00PM F TBA TBAScheduled Final Exam-OTR Room;3
20388;ECON 239 001;Full Term;LAW AND ECONOMICS;Warden, David E.;3:00PM - 6:00PM M BKH 1161-MAY-2018 2:00PM - 5:00PM T TBA TBAScheduled Final Exam-OTR Room;3
23567;ECON 260 001;Full Term;MICROECONOMICS & PUBLIC POLICY;Dudey, Marc P.;9:00AM - 9:50AM MWF BKH 23326-APR-2018 2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room;3
