CRN;Course;Session;Title;Instructor;Time/Location;Credits
21329;BIOC 301 S01;Full Term;BIOCHEMISTRY I;Kirienko, Natalia V.Revzin, Arnold;11:00AM - 11:50AM MWF KCK 10025-APR-2018 9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room;3
20398;BIOC 302 S01;Full Term;BIOCHEMISTRY II;Carson, Daniel D.Stern, Michael;11:00AM - 11:50AM MWF ABL 13125-APR-2018 9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room;3
20609;BIOC 310 001;Full Term;IND RES FOR BIOC UNDERGRADS;Phillips, Dereth R.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
21338;BIOC 310 002;Full Term;IND RES FOR BIOC UNDERGRADS;Warmflash, Aryeh;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
20548;BIOC 310 003;Full Term;IND RES FOR BIOC UNDERGRADS;Bartel, Bonnie;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
20549;BIOC 310 004;Full Term;IND RES FOR BIOC UNDERGRADS;Beckingham, Kathleen M.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
20550;BIOC 310 005;Full Term;IND RES FOR BIOC UNDERGRADS;Bennett, George N.;TBA TBANo Final Exam;1 TO 4
20551;BIOC 310 006;Full Term;IND RES FOR BIOC UNDERGRADS;Bennett, Matthew;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
20552;BIOC 310 007;Full Term;IND RES FOR BIOC UNDERGRADS;Braam, Janet;TBA TBANo Final Exam;1 TO 4
20553;BIOC 310 008;Full Term;IND RES FOR BIOC UNDERGRADS;Carson, Daniel D.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
20790;BIOC 310 009;Full Term;IND RES FOR BIOC UNDERGRADS;Chehab, El-Amir W.;TBA TBANo Final Exam;1 TO 4
20554;BIOC 310 010;Full Term;IND RES FOR BIOC UNDERGRADS;Papadopoulos, Pamela C.;TBA TBANo Final Exam;1 TO 4
20556;BIOC 310 012;Full Term;IND RES FOR BIOC UNDERGRADS;Gustin, Michael;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
24526;BIOC 310 014;Full Term;IND RES FOR BIOC UNDERGRADS;Chappell, James E.;TBA TBANo Final Exam;1 TO 4
