CRN;Course;Session;Title;Instructor;Time/Location;Credits
24625;RELI 700 012;Full Term;RESEARCH FOR QUALIFYING EXAMS;Pinn, Anthony B.;TBA TBAGR Course-Dept Schedules Exam;1 TO 12
24626;RELI 700 013;Full Term;RESEARCH FOR QUALIFYING EXAMS;Stroup, John M.;TBA TBAGR Course-Dept Schedules Exam;1 TO 12
20477;RELI 800 001;Full Term;RESEARCH FOR DISSERTATION;DeConick, April D.;TBA TBAGR Course-Dept Schedules Exam;9
23108;RELI 800 002;Full Term;RESEARCH FOR DISSERTATION;Brennan, Marcia G.;TBA TBAGR Course-Dept Schedules Exam;9
23109;RELI 800 003;Full Term;RESEARCH FOR DISSERTATION;Clements, Niki K.;TBA TBAGR Course-Dept Schedules Exam;9
23110;RELI 800 004;Full Term;RESEARCH FOR DISSERTATION;Cook, David B.;TBA TBAGR Course-Dept Schedules Exam;9
23102;RELI 800 005;Full Term;RESEARCH FOR DISSERTATION;DeConick, April D.;TBA TBAGR Course-Dept Schedules Exam;9
23103;RELI 800 006;Full Term;RESEARCH FOR DISSERTATION;Fanger, Claire L.;TBA TBAGR Course-Dept Schedules Exam;9
23104;RELI 800 007;Full Term;RESEARCH FOR DISSERTATION;Henze, Matthias;TBA TBAGR Course-Dept Schedules Exam;9
23111;RELI 800 008;Full Term;RESEARCH FOR DISSERTATION;Klein, Anne C.;TBA TBAGR Course-Dept Schedules Exam;9
23105;RELI 800 009;Full Term;RESEARCH FOR DISSERTATION;Kripal, Jeffrey J.;TBA TBAGR Course-Dept Schedules Exam;9
23112;RELI 800 010;Full Term;RESEARCH FOR DISSERTATION;Ogren, Brian E.;TBA TBAGR Course-Dept Schedules Exam;9
23106;RELI 800 011;Full Term;RESEARCH FOR DISSERTATION;Parsons, William B.;TBA TBAGR Course-Dept Schedules Exam;9
23107;RELI 800 012;Full Term;RESEARCH FOR DISSERTATION;Pinn, Anthony B.;TBA TBAGR Course-Dept Schedules Exam;9
23113;RELI 800 013;Full Term;RESEARCH FOR DISSERTATION;Stroup, John M.;TBA TBAGR Course-Dept Schedules Exam;9
25390;RELI 800 014;Full Term;RESEARCH FOR DISSERTATION;Bongmba, Elias K.;TBA TBAGR Course-Dept Schedules Exam;9
21901;RUSS 142 001;Full Term;FIRST YEAR RUSSIAN II;Moskvitina, Larisa I.;9:00AM - 9:50AM MWF HUM 32726-APR-2018 2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room;3
24797;RUSS 142 002;Full Term;FIRST YEAR RUSSIAN II;Moskvitina, Larisa I.;10:00AM - 10:50AM MWF HUM 32730-APR-2018 9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room;3
21904;SPAN 141 001;Full Term;FIRST YEAR SPANISH I;Diaz Montalvo, Thais M.;9:00AM - 9:50AM MWF RZR 20426-APR-2018 2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room;3
21905;SPAN 141 002;Full Term;FIRST YEAR SPANISH I;Diaz Montalvo, Thais M.;10:00AM - 10:50AM MWF RZR 20430-APR-2018 9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room;3
22580;SPAN 141 003;Full Term;FIRST YEAR SPANISH I;Turi, Luziris P.;11:00AM - 11:50AM MWF RZR 11925-APR-2018 9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room;3
21906;SPAN 142 001;Full Term;FIRST YEAR SPANISH II;Fleck, Jonathan S.;9:00AM - 9:50AM MWF RZR 10626-APR-2018 2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room;3
21911;SPAN 142 002;Full Term;FIRST YEAR SPANISH II;Fleck, Jonathan S.;10:00AM - 10:50AM MWF RZR 10630-APR-2018 9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room;3
21908;SPAN 142 004;Full Term;FIRST YEAR SPANISH II;Fleck, Jonathan S.;11:00AM - 11:50AM MWF RZR 10625-APR-2018 9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room;3
21909;SPAN 142 005;Full Term;FIRST YEAR SPANISH II;Boggiano, Aymara;1:00PM - 1:50PM MWF RZR 1191-MAY-2018 9:00AM - 12:00PM T TBA TBAScheduled Final Exam-OTR Room;3
21302;SPAN 263 001;Full Term;SECOND YEAR SPANISH I;Bennaji, Charla J.;9:00AM - 9:50AM MWF HUM 11826-APR-2018 2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room;3
21303;SPAN 263 002;Full Term;SECOND YEAR SPANISH I;Bennaji, Charla J.;10:00AM - 10:50AM MWF HUM 11830-APR-2018 9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room;3
21305;SPAN 264 001;Full Term;SECOND YEAR SPANISH II;Stasevicius, Maria L.;10:00AM - 10:50AM MWF RZR 12330-APR-2018 9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room;3
24798;SPAN 264 002;Full Term;SECOND YEAR SPANISH II;Stasevicius, Maria L.;11:00AM - 11:50AM MWF RZR 12325-APR-2018 9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room;3
25441;SPAN 264 003;Full Term;SECOND YEAR SPANISH II;Bennaji, Charla J.;11:00AM - 11:50AM MWF HUM 22725-APR-2018 9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room;3
24799;SPAN 303 001;Full Term;ADV SPAN BI-CULTURAL STUDENTS;Morones, Jessica Y.;1:00PM - 1:50PM MWF RZR 2051-MAY-2018 9:00AM - 12:00PM T TBA TBAScheduled Final Exam-OTR Room;3
