CRN,Course,Session,Title,Instructor(s),Schedule,Credits
24323,CEVE 565 001,Full Term,NANOENVIRONMENTL ENGR-TEACHERS,Nichol, Carolyn A.,6:00PM - 9:00PM T BRK 101GR Course-Dept Schedules Exam,3
20113,CEVE 570 001,Full Term,FOUNDATION ENGINEERING,Stevens, Robert F.,4:00PM - 5:15PM MF HBH 453GR Course-Dept Schedules Exam,3
25375,CEVE 590 001,Full Term,MCEE SPECIAL STUDY,Nagarajaiah, Satish, TBA TBAGR Course-Dept Schedules Exam,2 TO 3
25408,CEVE 590 003,Full Term,MCEE SPECIAL STUDY,Stadler, Lauren B., TBA TBAGR Course-Dept Schedules Exam,2 TO 3
25526,CEVE 590 012,Full Term,MCEE SPECIAL STUDY,Stevens, Robert F., TBA TBAGR Course-Dept Schedules Exam,2 TO 3
25552,CEVE 599 001,Full Term,SPECIAL TOPICS,Spanos, Pol D., TBA TBAGR Course-Dept Schedules Exam,1 TO 3
20114,CEVE 602 001,Full Term,SEMINAR,Stanciulescu, IlincaStadler, Lauren B.,2:00PM - 2:50PM F MEB 128GR Course-Dept Schedules Exam,1
25455,CEVE 603 001,Full Term,NEWT CORE COURSE,Loyo Rosales, Jorge E.,1:30PM - 2:30PM M MEL 253GR Course-Dept Schedules Exam,1
22661,CEVE 635 001,Full Term,ADV TOPICS: WATER CHEMISTRY,Tomson, Mason B., TBA TBAGR Course-Dept Schedules Exam,1 TO 12
22294,CEVE 652 002,Full Term,M.S. RESEARCH AND THESIS,Bedient, Philip B., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
22296,CEVE 652 007,Full Term,M.S. RESEARCH AND THESIS,Nagarajaiah, Satish, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23957,CEVE 652 011,Full Term,M.S. RESEARCH AND THESIS,Griffin, Robert J., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
20116,CEVE 801 001,Full Term,PHD RESEARCH AND THESIS,Alvarez, Pedro J., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
22298,CEVE 801 002,Full Term,PHD RESEARCH AND THESIS,Bedient, Philip B., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
22299,CEVE 801 003,Full Term,PHD RESEARCH AND THESIS,Cohan, Daniel S., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
22300,CEVE 801 004,Full Term,PHD RESEARCH AND THESIS,Duenas Osorio, Leonardo A., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
22301,CEVE 801 005,Full Term,PHD RESEARCH AND THESIS,Griffin, Robert J., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
22302,CEVE 801 006,Full Term,PHD RESEARCH AND THESIS,Li, Qilin, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
22303,CEVE 801 007,Full Term,PHD RESEARCH AND THESIS,Nagarajaiah, Satish, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
22304,CEVE 801 008,Full Term,PHD RESEARCH AND THESIS,Padgett, Jamie, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
22305,CEVE 801 009,Full Term,PHD RESEARCH AND THESIS,Shahsavari, Rouzbeh, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
22306,CEVE 801 010,Full Term,PHD RESEARCH AND THESIS,Stanciulescu, Ilinca, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
22307,CEVE 801 011,Full Term,PHD RESEARCH AND THESIS,Tomson, Mason B., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23958,CEVE 801 012,Full Term,PHD RESEARCH AND THESIS,Stadler, Lauren B., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23959,CEVE 801 013,Full Term,PHD RESEARCH AND THESIS,Wong, Michael S., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25108,CEVE 801 014,Full Term,PHD RESEARCH AND THESIS,DesRoches, Reginald, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25474,CHBE 007 001,1st Half of Full Term,VISITING RESEARCH,Vargas Arreola, Francisco M., TBA TBANo Final Exam,0
25475,CHBE 007 002,2nd Half of Full Term,VISITING RESEARCH,Vargas Arreola, Francisco M., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,0
20265,CHBE 305 001,Full Term,COMP METHODS CHEMICAL ENGIN,Zygourakis, Kyriacos,10:00AM - 10:50AM MWF DCH 107030-APR-2018  9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room,3
20336,CHBE 310 001,Full Term,INTRO BIOMOLECULAR ENGINEERING,Segatori, LauraSenftle, Margaret N.,9:25AM - 10:40AM TR KCK 10228-APR-2018  9:00AM - 12:00PM S TBA TBAScheduled Final Exam-OTR Room,3
21274,CHBE 310 002,Full Term,INTRO BIOMOLECULAR ENGINEERING,Segatori, LauraSenftle, Margaret N.,10:50AM - 12:05PM TR KCK 10726-APR-2018  9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room,3
20876,CHBE 343 001,Full Term,CHEMICAL ENGINEERING LAB I,Doherty, Rocio H.,1:00PM - 2:30PM M HRZ 2121:00PM - 4:00PM T TBA TBA1-MAY-2018  9:00AM - 12:00PM T TBA TBAScheduled Final Exam-Dept Room,3
25109,CHBE 343 002,Full Term,CHEMICAL ENGINEERING LAB I,Doherty, Rocio H.,1:00PM - 2:30PM M HRZ 2121:00PM - 4:00PM W TBA TBA1-MAY-2018  9:00AM - 12:00PM T TBA TBAScheduled Final Exam-Dept Room,3
25110,CHBE 343 003,Full Term,CHEMICAL ENGINEERING LAB I,Doherty, Rocio H.,1:00PM - 2:30PM M HRZ 2121:00PM - 4:00PM R TBA TBA1-MAY-2018  9:00AM - 12:00PM T TBA TBAScheduled Final Exam-Dept Room,3
21271,CHBE 350 001,Full Term,PROCESS SAFETY,Cox, Kenneth R.Perez, John T.,2:00PM - 2:50PM F DCH 107028-APR-2018  2:00PM - 5:00PM S TBA TBAScheduled Final Exam-OTR Room,1
21449,CHBE 402 002,Full Term,TRANSPORT PHENOMENA II,Verduzco, RafaelCokar, Marya,11:00AM - 11:50AM MWF ANH 11725-APR-2018  9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room,3
20267,CHBE 404 001,Full Term,CHEMICAL ENGINEERING DESIGN,Cox, Kenneth R.,10:50AM - 12:05PM TR KCK 10226-APR-2018  9:00AM - 12:00PM R TBA TBAScheduled Final Exam-Dept Room,4
25360,CHBE 404 002,Full Term,CHEMICAL ENGINEERING DESIGN,Cox, Kenneth R.,8:00AM - 9:15AM TR AEL A1211-MAY-2018  7:00PM - 10:00PM T TBA TBAScheduled Final Exam-Dept Room,4
20674,CHBE 412 001,Full Term,THERMODYNAMICS II,Chapman, Walter G.Vargas Arreola, Francisco M.,10:00AM - 10:50AM MWF HRZ 21230-APR-2018  9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room,3
25419,CHBE 416 001,Full Term,PROPERTIES OF SOFT MATERIALS,Thomas, Edwin L.,3:00PM - 3:50PM MWF GRB W211Scheduled Final Exam-OTR Room,3
24892,CHBE 443 001,Full Term,CHEMICAL ENGINEERING LAB II,Tavakkoli, Mohammad,6:30PM - 9:00PM M HRZ 2106:30PM - 9:00PM T AEL B1142-MAY-2018  2:00PM - 5:00PM W TBA TBANo Final Exam,3
25305,CHBE 450 001,Full Term,PETRO PHASE BEHAV & FLOW ASSUR,Vargas Arreola, Francisco M.Chapman, Walter G.,4:00PM - 5:15PM MW DCH 107528-APR-2018  7:00PM - 10:00PM S TBA TBAScheduled Final Exam-OTR Room,3
22619,CHBE 465 001,Full Term,STAT PHY W/MOL NANOSCI & TECH,Robert, Marc A.,8:30AM - 9:45AM MW MEL 251No Final Exam,3
24335,CHBE 490 001,Full Term,CHEM CAR ENG AND DESIGN,Verduzco, Rafael,4:00PM - 5:15PM TR KCK 10527-APR-2018  2:00PM - 5:00PM F TBA TBANo Final Exam,3
21662,CHBE 495 001,Full Term,SPECIAL TOPICS,Biswal, Sibani L., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBAScheduled Final Exam-Dept Room,1 TO 6
21663,CHBE 495 002,Full Term,SPECIAL TOPICS,Chapman, Walter G., TBA TBANo Final Exam,1 TO 6
21664,CHBE 495 003,Full Term,SPECIAL TOPICS,Cox, Kenneth R., TBA TBANo Final Exam,1 TO 6
21687,CHBE 495 004,Full Term,SPECIAL TOPICS,Gonzalez, Ramon, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 6
21688,CHBE 495 005,Full Term,SPECIAL TOPICS,Hirasaki, George J., TBA TBANo Final Exam,1 TO 6
21690,CHBE 495 007,Full Term,SPECIAL TOPICS,Pasquali, Matteo, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 6
21691,CHBE 495 008,Full Term,SPECIAL TOPICS,Robert, Marc A., TBA TBANo Final Exam,1 TO 6
21692,CHBE 495 009,Full Term,SPECIAL TOPICS,Segatori, Laura, TBA TBANo Final Exam,1 TO 6
21693,CHBE 495 010,Full Term,SPECIAL TOPICS,Vargas Arreola, Francisco M., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 6
21694,CHBE 495 011,Full Term,SPECIAL TOPICS,Verduzco, Rafael, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 6
21695,CHBE 495 012,Full Term,SPECIAL TOPICS,Wong, Michael S., TBA TBANo Final Exam,1 TO 6
21926,CHBE 495 013,Full Term,SPECIAL TOPICS,Zygourakis, Kyriacos, TBA TBANo Final Exam,1 TO 6
21927,CHBE 495 015,Full Term,SPECIAL TOPICS,San, Ka-Yiu, TBA TBANo Final Exam,1 TO 6
23504,CHBE 495 016,Full Term,SPECIAL TOPICS,MacKintosh, Frederick C., TBA TBAScheduled Final Exam-Dept Room,1 TO 6
24360,CHBE 495 017,Full Term,SPECIAL TOPICS,Senftle, Thomas P., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBAScheduled Final Exam-Dept Room,1 TO 6
25470,CHBE 495 018,Full Term,SPECIAL TOPICS,Gao, Xue, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBAScheduled Final Exam-Dept Room,1 TO 6
25478,CHBE 495 019,Full Term,SPECIAL TOPICS,Doherty, Rocio H., TBA TBAScheduled Final Exam-Dept Room,1 TO 6
21037,CHBE 499 001,Full Term,UNDERGRADUATE RESEARCH,Robert, Marc A., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 3
25420,CHBE 516 001,Full Term,PROPERTIES OF SOFT MATERIALS,Thomas, Edwin L.,3:00PM - 3:50PM MWF GRB W2111-MAY-2018  2:00PM - 5:00PM T TBA TBAGR Course-Dept Schedules Exam,3
25306,CHBE 550 001,Full Term,PETRO PHASE BEHAV & FLOW ASSUR,Vargas Arreola, Francisco M.Chapman, Walter G.,4:00PM - 5:15PM MW DCH 1075GR Course-Dept Schedules Exam,3
24893,CHBE 560 001,Full Term,COLLOIDAL & INTERFACIAL PHENOM,Biswal, Sibani L.,4:00PM - 5:15PM TR KCK 101GR Course-Dept Schedules Exam,3
22620,CHBE 565 001,Full Term,STAT PHY W/MOL NANOSCI & TECH,Robert, Marc A.,8:30AM - 9:45AM MW MEL 251GR Course-Dept Schedules Exam,3
20268,CHBE 602 001,Full Term,PHYSICO-CHEMICAL HYDRODYNAMICS,MacKintosh, Frederick C.,10:50AM - 12:05PM TR BRC 286GR Course-Dept Schedules Exam,3
20643,CHBE 605 001,Full Term,TEACHING ASSISTANT,Segatori, Laura, TBA TBAGR Course-Dept Schedules Exam,1
20644,CHBE 606 001,Full Term,DEAN'S TEACHING ASSISTANT,Segatori, Laura, TBA TBAGR Course-Dept Schedules Exam,1
22621,CHBE 611 003,Full Term,ADVANCED TOPICS-THERMODYNAMICS,Asthagiri, Dilipkumar N.,8:00AM - 9:15AM TR DCH 1046GR Course-Dept Schedules Exam,3
20796,CHBE 620 001,Full Term,TISSUE ENGINEERING,Mikos, Antonios G.,11:00AM - 12:15PM MWF BRC 284GR Course-Dept Schedules Exam,3
20269,CHBE 662 001,Full Term,GRADUATE SEMINAR,Vargas Arreola, Francisco M.,2:30PM - 3:50PM R HRZ 210GR Course-Dept Schedules Exam,1
24895,CHBE 671 001,Full Term,FLOW&TRANSPORT POROUS MEDIA II,Hirasaki, George J.,4:00PM - 5:29PM MW AEL B209GR Course-Dept Schedules Exam,3
25321,CHBE 677 001,Full Term,BIOINNOVATION/ENTREPRENEURSHIP,Gonzalez, Ramon,2:00PM - 4:30PM W HRZ 211GR Course-Dept Schedules Exam,3
21560,CHBE 695 001,Full Term,MCHE INDEPENDENT STUDY,Asthagiri, Dilipkumar N., TBA TBAGR Course-Dept Schedules Exam,1 TO 3
20675,CHBE 700 001,Full Term,M.S. RESEARCH AND THESIS,Wong, Michael S., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23509,CHBE 700 002,Full Term,M.S. RESEARCH AND THESIS,Vargas Arreola, Francisco M., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23510,CHBE 700 003,Full Term,M.S. RESEARCH AND THESIS,Biswal, Sibani L., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25073,CHBE 700 004,Full Term,M.S. RESEARCH AND THESIS,Zygourakis, Kyriacos, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25436,CHBE 700 005,Full Term,M.S. RESEARCH AND THESIS,Verduzco, Rafael, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
20270,CHBE 800 001,Full Term,GRADUATE RESEARCH,Biswal, Sibani L., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23511,CHBE 800 002,Full Term,GRADUATE RESEARCH,Chapman, Walter G., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23512,CHBE 800 003,Full Term,GRADUATE RESEARCH,Gonzalez, Ramon, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23513,CHBE 800 004,Full Term,GRADUATE RESEARCH,Hirasaki, George J., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23515,CHBE 800 006,Full Term,GRADUATE RESEARCH,Pasquali, Matteo, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23516,CHBE 800 007,Full Term,GRADUATE RESEARCH,Segatori, Laura, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23517,CHBE 800 008,Full Term,GRADUATE RESEARCH,Vargas Arreola, Francisco M., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23518,CHBE 800 009,Full Term,GRADUATE RESEARCH,Verduzco, Rafael, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23519,CHBE 800 010,Full Term,GRADUATE RESEARCH,Wong, Michael S., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23520,CHBE 800 011,Full Term,GRADUATE RESEARCH,Zygourakis, Kyriacos, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23521,CHBE 800 012,Full Term,GRADUATE RESEARCH,Clementi, Cecilia, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23522,CHBE 800 013,Full Term,GRADUATE RESEARCH,Kolomeisky, Anatoly B., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23523,CHBE 800 014,Full Term,GRADUATE RESEARCH,Suh, Junghae, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23524,CHBE 800 015,Full Term,GRADUATE RESEARCH,MacKintosh, Frederick C., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24896,CHBE 800 016,Full Term,GRADUATE RESEARCH,Senftle, Thomas P., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24897,CHBE 800 017,Full Term,GRADUATE RESEARCH,Gao, Xue, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24989,COMP 140 001,Full Term,COMPUTATIONAL THINKING,Greiner, John D.,2:30PM - 3:45PM TR BRK 10130-APR-2018  2:00PM - 5:00PM M TBA TBAScheduled Final Exam-OTR Room,4
20425,COMP 182 001,Full Term,ALGORITHMIC THINKING,Nakhleh, LuayBurke, Michael G.,10:50AM - 12:05PM TR HRZ AMP11:00AM - 12:15PM F BRK 10126-APR-2018  9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room,4
21510,COMP 182 002,Full Term,ALGORITHMIC THINKING,Nakhleh, LuayBurke, Michael G.,10:50AM - 12:05PM TR HRZ AMP2:00PM - 3:15PM F BRK 10126-APR-2018  9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room,4
20157,COMP 290 001,Full Term,COMPUTER SCIENCE PROJECTS,Wong, Stephen B., TBA TBANo Final Exam,1 TO 3
23251,COMP 290 002,Full Term,COMPUTER SCIENCE PROJECTS,Wallach, Dan S., TBA TBANo Final Exam,1 TO 3
24344,COMP 290 003,Full Term,COMPUTER SCIENCE PROJECTS,Ng, Tze Sing E., TBA TBANo Final Exam,1 TO 3
24417,COMP 290 004,Full Term,COMPUTER SCIENCE PROJECTS,Kavraki, Lydia E., TBA TBANo Final Exam,1 TO 3
23948,COMP 310 001,Full Term,ADV OBJECT-ORIENTED PROG,Wong, Stephen B.,10:00AM - 10:50AM MWF RYN 2011:00PM - 2:15PM T TBA TBA30-APR-2018  9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room,4
21256,COMP 321 001,Full Term,INTRO TO COMPUTER SYSTEMS,Cox, Alan L.Fagan, Michael,2:30PM - 3:45PM TR KCK 1004:00PM - 5:30PM T DCH Sym II Lab30-APR-2018  2:00PM - 5:00PM M TBA TBATake-Home Exam,4
21465,COMP 321 002,Full Term,INTRO TO COMPUTER SYSTEMS,Cox, Alan L.Fagan, Michael,2:30PM - 3:45PM TR KCK 1003:00PM - 4:30PM W DCH Sym II Lab30-APR-2018  2:00PM - 5:00PM M TBA TBATake-Home Exam,4
22615,COMP 321 003,Full Term,INTRO TO COMPUTER SYSTEMS,Cox, Alan L.Fagan, Michael,2:30PM - 3:45PM TR KCK 1004:00PM - 5:30PM M DCH Sym II Lab30-APR-2018  2:00PM - 5:00PM M TBA TBATake-Home Exam,4
20444,COMP 322 001,Full Term,FUNDAMENTALS OF PARALLEL PROG,Joyner, Mackale R.Budimlic, Zoran,1:00PM - 1:50PM MWF SEW 3014:00PM - 4:50PM R SEW 3011-MAY-2018  9:00AM - 12:00PM T TBA TBAScheduled Final Exam-OTR Room,4
20158,COMP 390 001,Full Term,COMPUTER SCIENCE PROJECTS,Patel, Ankit B., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBAScheduled Final Exam-OTR Room,1 TO 3
23249,COMP 390 002,Full Term,COMPUTER SCIENCE PROJECTS,Kavraki, Lydia E., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBAScheduled Final Exam-OTR Room,1 TO 3
23250,COMP 390 003,Full Term,COMPUTER SCIENCE PROJECTS,Subramanian, Devika, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBAScheduled Final Exam-OTR Room,1 TO 3
25370,COMP 390 004,Full Term,COMPUTER SCIENCE PROJECTS,Lieberman-Aiden, Erez, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBAScheduled Final Exam-Dept Room,1 TO 3
25540,COMP 390 005,Full Term,COMPUTER SCIENCE PROJECTS,Nakhleh, Luay, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBAScheduled Final Exam-Dept Room,1 TO 3
25311,COMP 403 001,Full Term,REASONING ABOUT SOFTWARE,Chaudhuri, Swarat,10:00AM - 10:50AM MWF DCH 104630-APR-2018  9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room,3
21255,COMP 410 001,Full Term,SOFTWARE ENGINEER METHODOLOGY,Wong, Stephen B.Joyner, Mackale R.,3:00PM - 3:50PM MWF DCH 10701-MAY-2018  2:00PM - 5:00PM T TBA TBAScheduled Final Exam-OTR Room,4
20988,COMP 411 001,Full Term,PRINCIPLES OF PROG LANGUAGES,Cartwright, Robert S.,1:00PM - 1:50PM MWF DCH 10701-MAY-2018  9:00AM - 12:00PM T TBA TBAScheduled Final Exam-OTR Room,4
20159,COMP 421 001,Full Term,OP SYS/CONCURRENT PROGRAMMING,Johnson, David B.,2:30PM - 3:45PM TR HRG 10030-APR-2018  2:00PM - 5:00PM M TBA TBAScheduled Final Exam-OTR Room,4
21500,COMP 427 001,Full Term,INTRO TO COMPUTER SECURITY,Wallach, Dan S.,10:50AM - 12:05PM TR DCH 107026-APR-2018  9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room,3
20665,COMP 430 001,Full Term,INTRO TO DATABASE SYSTEMS,Greiner, John D.,2:00PM - 2:50PM MWF DCH 106428-APR-2018  2:00PM - 5:00PM S TBA TBAScheduled Final Exam-OTR Room,4
25414,COMP 447 001,Full Term,INTRO TO COMPUTER VISION,Veeraraghavan, Ashok,4:00PM - 5:15PM TR HRZ 21027-APR-2018  2:00PM - 5:00PM F TBA TBATake-Home Exam,3
20524,COMP 460 001,Full Term,ADV COMPUTER GRAPHICS,Warren, Joe D.,2:00PM - 3:50PM M DCH Sym II Lab2:00PM - 2:50PM WF DCH Sym II Lab28-APR-2018  2:00PM - 5:00PM S TBA TBAScheduled Final Exam-OTR Room,4
21490,COMP 481 001,Full Term,AUTOMATA/FORMAL LANG/COMPUTING,Burke, Michael G.,2:30PM - 3:45PM TR KCK 10730-APR-2018  2:00PM - 5:00PM M TBA TBAScheduled Final Exam-OTR Room,3
24885,COMP 486 001,Full Term,FUND MEDICAL IMAGING II,Mawlawi, Osama,4:00PM - 6:50PM R BRC 285Take-Home Exam,3
20161,COMP 490 001,Full Term,COMPUTER SCIENCE PROJECTS,Nakhleh, Luay, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 4
23940,COMP 490 002,Full Term,COMPUTER SCIENCE PROJECTS,Sarkar, Vivek, TBA TBANo Final Exam,1 TO 4
25512,COMP 490 003,Full Term,COMPUTER SCIENCE PROJECTS,Lieberman-Aiden, Erez, TBA TBAScheduled Final Exam-Dept Room,1 TO 4
25531,COMP 490 004,Full Term,COMPUTER SCIENCE PROJECTS,Cox, Alan L., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBAScheduled Final Exam-Dept Room,1 TO 4
20162,COMP 491 001,Full Term,COMPUTER SCIENCE TEACHING,Cox, Alan L., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,3
24937,COMP 498 001,Full Term,INTRODUCTION TO ROBOTICS,O'Malley, Marcia K.,1:00PM - 2:15PM TR KWG 10027-APR-2018  9:00AM - 12:00PM F TBA TBATake-Home Exam,3
22532,COMP 502 001,Full Term,NEURAL MACHINE LEARNING I,Merenyi, Erzsebet,2:30PM - 3:45PM TR DCH 1064GR Course-Dept Schedules Exam,3
25318,COMP 503 001,Full Term,REASONING ABOUT SOFTWARE,Chaudhuri, Swarat,10:00AM - 10:50AM MWF DCH 104630-APR-2018  9:00AM - 12:00PM M TBA TBAGR Course-Dept Schedules Exam,3
21779,COMP 506 001,Full Term,COMPILER CONSTRUCTION - GR,Cooper, Keith D.,10:50AM - 12:05PM TR RYN 201GR Course-Dept Schedules Exam,4
22511,COMP 511 001,Full Term,PRINCIPLES OF PROG LANGUAGES,Cartwright, Robert S.,1:00PM - 1:50PM MWF DCH 10701-MAY-2018  9:00AM - 12:00PM T TBA TBAGR Course-Dept Schedules Exam,4
21558,COMP 513 001,Full Term,COMPLEXITY IN MODERN SYSTEMS,Zhong, Lin,12:20PM - 2:50PM W AEL A121GR Course-Dept Schedules Exam,3
22514,COMP 521 001,Full Term,OP SYS/CONCURRENT PROGRAMMING,Johnson, David B.,2:30PM - 3:45PM TR HRG 10030-APR-2018  2:00PM - 5:00PM M TBA TBAGR Course-Dept Schedules Exam,4
20781,COMP 526 001,Full Term,HIGH PERFORM COMPUTER ARCH,Varman, Peter J.,9:25AM - 10:40AM TR DCH 1042GR Course-Dept Schedules Exam,3
22442,COMP 528 001,Full Term,INTRODUCTION TO VIRTUALIZATION,Rixner, Scott,1:00PM - 2:15PM TR DCH 1075GR Course-Dept Schedules Exam,3
20989,COMP 529 001,Full Term,ADVANCED COMPUTER NETWORKS,Ng, Tze Sing E.,10:50AM - 12:05PM TR DCH 1042GR Course-Dept Schedules Exam,4
22432,COMP 530 001,Full Term,DATABASE SYSTEM IMPLEMENTATION,Jermaine, Christopher M.,11:00AM - 11:50AM MWF RYN 201GR Course-Dept Schedules Exam,3 TO 4
23950,COMP 533 001,Full Term,INTRO TO DATABASE SYSTEMS,Myers, Risa B.,4:00PM - 5:15PM TR KCK 100GR Course-Dept Schedules Exam,4
25496,COMP 535 002,Full Term,APPROX COMP SYS FOR BIG DATA,Palem, Krishna V.Cartwright, Robert S.,3:00PM - 3:50PM MWF DCH 1042GR Course-Dept Schedules Exam,4
22513,COMP 539 001,Full Term,SOFTWARE ENGINEER METHODOLOGY,Wong, Stephen B.Joyner, Mackale R.,3:00PM - 3:50PM MWF DCH 10701-MAY-2018  2:00PM - 5:00PM T TBA TBAGR Course-Dept Schedules Exam,4
20991,COMP 540 001,Full Term,STATISTICAL MACHINE LEARNING,Subramanian, Devika,10:00AM - 10:50AM MWF SEW 301GR Course-Dept Schedules Exam,4
22516,COMP 541 001,Full Term,INTRO TO COMPUTER SECURITY,Wallach, Dan S.,10:50AM - 12:05PM TR DCH 107026-APR-2018  9:00AM - 12:00PM R TBA TBAGR Course-Dept Schedules Exam,3
25317,COMP 543 001,Full Term,GR TOOLS & MODELS - DATA SCI,Myers, Risa B.Jermaine, Christopher M.,1:00PM - 1:50PM MWF DCH 1075GR Course-Dept Schedules Exam,3
24211,COMP 546 001,Full Term,INTRO TO COMPUTER VISION,Veeraraghavan, Ashok,4:00PM - 5:15PM TR HRZ 21027-APR-2018  2:00PM - 5:00PM F TBA TBAGR Course-Dept Schedules Exam,3
25072,COMP 573 001,Full Term,BIOMEDICAL INFORMATICS,Kavraki, Lydia E.,1:00PM - 2:15PM TR KCK 105GR Course-Dept Schedules Exam,1 TO 3
22517,COMP 581 001,Full Term,AUTOMATA/FORMAL LANG/COMPUTING,Burke, Michael G.,2:30PM - 3:45PM TR KCK 10730-APR-2018  2:00PM - 5:00PM M TBA TBAGR Course-Dept Schedules Exam,3
20487,COMP 590 001,Full Term,COMPUTER SCIENCE PROJECTS,Vardi, Moshe Y., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23254,COMP 590 002,Full Term,COMPUTER SCIENCE PROJECTS,Cartwright, Robert S., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23255,COMP 590 003,Full Term,COMPUTER SCIENCE PROJECTS,Goldman, Ronald N., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23256,COMP 590 004,Full Term,COMPUTER SCIENCE PROJECTS,Jermaine, Christopher M., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23257,COMP 590 005,Full Term,COMPUTER SCIENCE PROJECTS,Johnson, David B., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23258,COMP 590 006,Full Term,COMPUTER SCIENCE PROJECTS,Mellor-Crummey, John M., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23259,COMP 590 007,Full Term,COMPUTER SCIENCE PROJECTS,Nakhleh, Luay, TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23260,COMP 590 008,Full Term,COMPUTER SCIENCE PROJECTS,Ng, Tze Sing E., TBA TBAGR Course-Dept Schedules Exam,1 TO 4
23261,COMP 590 009,Full Term,COMPUTER SCIENCE PROJECTS,Rixner, Scott, TBA TBAGR Course-Dept Schedules Exam,1 TO 4
