CRN,Course,Session,Title,Instructor(s),Schedule,Credits
23199,BIOE 500 004,Full Term,GRADUATE RESEARCH,Drezek, Rebekah A., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23200,BIOE 500 005,Full Term,GRADUATE RESEARCH,Grande-Allen, Kathryn J., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23201,BIOE 500 006,Full Term,GRADUATE RESEARCH,Igoshin, Oleg, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23203,BIOE 500 008,Full Term,GRADUATE RESEARCH,, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23204,BIOE 500 009,Full Term,GRADUATE RESEARCH,Levine, Herbert, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23205,BIOE 500 010,Full Term,GRADUATE RESEARCH,Ma, Jianpeng, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23206,BIOE 500 011,Full Term,GRADUATE RESEARCH,Mikos, Antonios G., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23207,BIOE 500 012,Full Term,GRADUATE RESEARCH,Miller, Jordan S., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23208,BIOE 500 013,Full Term,GRADUATE RESEARCH,Qutub, Amina A., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23209,BIOE 500 014,Full Term,GRADUATE RESEARCH,Bao, Gang, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23210,BIOE 500 015,Full Term,GRADUATE RESEARCH,Richards-Kortum, Rebecca R., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23211,BIOE 500 016,Full Term,GRADUATE RESEARCH,San, Ka-Yiu, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23212,BIOE 500 017,Full Term,GRADUATE RESEARCH,Suh, Junghae, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23213,BIOE 500 018,Full Term,GRADUATE RESEARCH,Tabor, Jeffrey, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23214,BIOE 500 019,Full Term,GRADUATE RESEARCH,Tkaczyk, Tomasz, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23215,BIOE 500 020,Full Term,GRADUATE RESEARCH,Zhang, David Y., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24309,BIOE 500 021,Full Term,GRADUATE RESEARCH,Pasquali, Matteo, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24310,BIOE 500 022,Full Term,GRADUATE RESEARCH,Robinson, Jacob T., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25439,BIOE 500 023,Full Term,GRADUATE RESEARCH,Veiseh, Omid, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25520,BIOE 500 024,Full Term,GRADUATE RESEARCH,Hartgerink, Jeffrey D., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
20618,BIOE 506 001,Full Term,GRADUATE INDEPENDENT STUDY,Richardson, Eric S., TBA TBAGR Course-Dept Schedules Exam,1 TO 6
24415,BIOE 506 002,Full Term,GRADUATE INDEPENDENT STUDY,Raphael, Robert M., TBA TBAGR Course-Dept Schedules Exam,1 TO 6
25560,BIOE 506 003,2nd Half of Full Term,GRADUATE INDEPENDENT STUDY,Igoshin, Oleg, TBA TBAGR Course-Dept Schedules Exam,1 TO 6
20848,BIOE 512 001,Full Term,BIOPHOTONICS INSTRUMENTATION,Tkaczyk, Tomasz,1:00PM - 2:15PM TR BRC 285GR Course-Dept Schedules Exam,3
20953,BIOE 518 001,Full Term,INTRO TO COMPUTATION BIOLOGY,Igoshin, Oleg,9:25AM - 10:40AM TR BRC 284GR Course-Dept Schedules Exam,3
20952,BIOE 519 001,Full Term,BIOMATERIALS SYNTHESIS,Miller, Jordan S.,3:30PM - 4:50PM MW BRC 282GR Course-Dept Schedules Exam,3
21322,BIOE 522 001,Full Term,GENE THERAPY,Suh, Junghae,2:30PM - 3:45PM TR BRC 286GR Course-Dept Schedules Exam,3
21783,BIOE 529 001,Full Term,MEDICAL TECHNOLOGY DESIGN 2,Richardson, Eric S.,10:50AM - 12:05PM TR TBA TBAGR Course-Dept Schedules Exam,3
21784,BIOE 530 001,Full Term,MEDICAL TECH IMPLEMENTATION 2,Richardson, Eric S.,12:30PM - 1:45PM MR TBA TBAGR Course-Dept Schedules Exam,3
20853,BIOE 560 001,Full Term,CANCER BIOLOGY,Papadopoulos, Pamela C.,8:00AM - 9:15AM TR BRC 2821-MAY-2018  7:00PM - 10:00PM T TBA TBAGR Course-Dept Schedules Exam,3
21055,BIOE 592 001,Full Term,SENSORY NEUROENGINEERING,Raphael, Robert M.,2:30PM - 3:50PM MW BRC 284GR Course-Dept Schedules Exam,3
25393,BIOE 595 001,Full Term,MODELING TISSUE MECHANICS,Boriek, A M.,2:00PM - 3:15PM MW HBH 22GR Course-Dept Schedules Exam,3
25466,BIOE 596 001,Full Term,FUND MEDICAL IMAGING II,Mawlawi, Osama,4:00PM - 6:50PM R BRC 28527-APR-2018  2:00PM - 5:00PM F TBA TBAGR Course-Dept Schedules Exam,3
20340,BIOE 610 001,Full Term,METHODS OF MOLECULAR SIMUL,Deem, Michael W.,2:30PM - 3:50PM MW BRC 285GR Course-Dept Schedules Exam,3
20684,BIOE 620 001,Full Term,TISSUE ENGINEERING,Mikos, Antonios G.,11:00AM - 12:15PM MWF BRC 284GR Course-Dept Schedules Exam,3
24241,BIOE 628 001,Full Term,MED TECH DESIGN SEMINAR 2,Richardson, Eric S.,4:00PM - 5:15PM W BRC 285GR Course-Dept Schedules Exam,1.5
25301,BIOE 633 001,MBA Term II,LIFE SCIENCE ENTREPRENEURSHIP,Gill, Jack M.,4:00PM - 6:00PM TR BRC 103GR Course-Dept Schedules Exam,1.5
24888,BIOE 680 001,Full Term,NANO-NEUROTECHNOLOGY,Robinson, Jacob T.,2:00PM - 4:30PM W DCH 1046GR Course-Dept Schedules Exam,3
20186,BIOE 699 001,Full Term,BIOENGINEERING COLLOQUIA,Veiseh, Omid,4:00PM - 4:50PM T BRC 282GR Course-Dept Schedules Exam,1
21165,CAAM 210 001,Full Term,INTRO TO ENG COMPUTATION,Huang, Wen,10:00AM - 10:50AM MWF KCK 10030-APR-2018  9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room,3
20167,CAAM 335 001,Full Term,MATRIX ANALYSIS,Chan, Jesse L.,2:00PM - 2:50PM MWF HRZ 21028-APR-2018  2:00PM - 5:00PM S TBA TBAScheduled Final Exam-OTR Room,3
22331,CAAM 335 002,Full Term,MATRIX ANALYSIS,Chaabane, Nabil,9:00AM - 9:50AM MWF DCH 106426-APR-2018  2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room,3
25415,CAAM 335 003,Full Term,MATRIX ANALYSIS,Joshi, Babhru,9:00AM - 9:50AM MWF DCH 107526-APR-2018  2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room,3
20168,CAAM 336 001,Full Term,DIFF EQUATIONS SCI & ENG,de Hoop, Maarten V.,1:00PM - 1:50PM MWF ABL 1311-MAY-2018  9:00AM - 12:00PM T TBA TBAScheduled Final Exam-OTR Room,3
23529,CAAM 336 002,Full Term,DIFF EQUATIONS SCI & ENG,Wong, Christopher A.,1:00PM - 1:50PM MWF DCH 10421-MAY-2018  9:00AM - 12:00PM T TBA TBAScheduled Final Exam-OTR Room,3
25043,CAAM 336 003,Full Term,DIFF EQUATIONS SCI & ENG,Hendryx, Emily,9:00AM - 9:50AM MWF DCH 104626-APR-2018  2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room,3
22456,CAAM 416 001,Full Term,NEURAL COMPUTATION,Pitkow, Zachary S.,2:30PM - 3:45PM TR KCK 10130-APR-2018  2:00PM - 5:00PM M TBA TBANo Final Exam,3
24755,CAAM 435 001,Full Term,DYNAMICAL SYSTEMS,Hardt, Robert M.,1:00PM - 2:15PM TR MEL 25127-APR-2018  9:00AM - 12:00PM F TBA TBATake-Home Exam,3
20169,CAAM 454 001,Full Term,NUMERICAL ANALYSIS II,Heinkenschloss, Matthias,2:30PM - 3:45PM TR DCH 104630-APR-2018  2:00PM - 5:00PM M TBA TBAScheduled Final Exam-OTR Room,3
20321,CAAM 471 001,Full Term,LINEAR AND INTEGER PROGRAMMING,Hicks, Illya V.,1:00PM - 2:15PM TR DCH 104627-APR-2018  9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room,3
20850,CAAM 480 001,Full Term,PEDAGOGY FOR RLAs,Huang, Wen,6:00PM - 6:50PM TR DCH 107526-APR-2018  7:00PM - 10:00PM R TBA TBANo Final Exam,2
23306,CAAM 491 001,Full Term,UNDERGRAD RESEARCH PROJECTS,Chan, Jesse L., TBA TBANo Final Exam,1 TO 6
23531,CAAM 491 002,Full Term,UNDERGRAD RESEARCH PROJECTS,de Hoop, Maarten V., TBA TBANo Final Exam,1 TO 6
23532,CAAM 491 003,Full Term,UNDERGRAD RESEARCH PROJECTS,Gillman, Adrianna M., TBA TBANo Final Exam,1 TO 6
23533,CAAM 491 004,Full Term,UNDERGRAD RESEARCH PROJECTS,Hand, Paul E., TBA TBANo Final Exam,1 TO 6
23534,CAAM 491 005,Full Term,UNDERGRAD RESEARCH PROJECTS,Heinkenschloss, Matthias, TBA TBANo Final Exam,1 TO 6
23535,CAAM 491 006,Full Term,UNDERGRAD RESEARCH PROJECTS,Hicks, Illya V., TBA TBANo Final Exam,1 TO 6
23536,CAAM 491 007,Full Term,UNDERGRAD RESEARCH PROJECTS,Knepley, Matthew G., TBA TBANo Final Exam,1 TO 6
23537,CAAM 491 008,Full Term,UNDERGRAD RESEARCH PROJECTS,Riviere, Beatrice, TBA TBANo Final Exam,1 TO 6
